B113,"-9.352,22.443,0.0","-9.352,21.443,0.0","-9.352,21.443,2.0","-9.352,22.443,2.0","-9.352,22.443,0.0"
B114,"-24.133,26.166,4.57","-24.133,27.166,4.57","-24.133,27.166,6.57","-24.133,26.166,6.57","-24.133,26.166,4.57"
B115,"-27.003,22.296,4.57","-27.003,21.296,4.57","-27.003,21.296,6.57","-27.003,22.296,6.57","-27.003,22.296,4.57"
B116,"-18.773,22.912,4.57","-19.773,22.912,4.57","-19.773,22.912,6.57","-18.773,22.912,6.57","-18.773,22.912,4.57"
B117,"-16.768,24.427,4.57","-16.768,25.427,4.57","-16.768,25.427,6.57","-16.768,24.427,6.57","-16.768,24.427,4.57"
B118,"-12.948,24.032,4.57","-12.948,23.032,4.57","-12.948,23.032,6.57","-12.948,24.032,6.57","-12.948,24.032,4.57"
B119,"-12.893,22.912,4.57","-11.893,22.912,4.57","-11.893,22.912,6.57","-12.893,22.912,6.57","-12.893,22.912,4.57"
B120,"-17.768,14.666,4.57","-17.768,15.666,4.57","-17.768,15.666,6.57","-17.768,14.666,6.57","-17.768,14.666,4.57"
B121,"-12.932,14.586,4.57","-13.932,14.586,4.57","-13.932,14.586,6.57","-12.932,14.586,6.57","-12.932,14.586,4.57"
B122,"-37.103,49.956,4.57","-38.103,49.956,4.57","-38.103,49.956,6.57","-37.103,49.956,6.57","-37.103,49.956,4.57"
B123,"-23.832,40.722,0.0","-24.832,40.722,0.0","-24.832,40.722,2.0","-23.832,40.722,2.0","-23.832,40.722,0.0"
B124,"-23.752,42.781,0.0","-23.752,41.781,0.0","-23.752,41.781,2.0","-23.752,42.781,2.0","-23.752,42.781,0.0"
B125,"-35.608,40.722,0.0","-36.608,40.722,0.0","-36.608,40.722,2.0","-35.608,40.722,2.0","-35.608,40.722,0.0"
B126,"-29.063,22.668,0.0","-28.063,22.668,0.0","-28.063,22.668,2.0","-29.063,22.668,2.0","-29.063,22.668,0.0"
B127,"-24.878,46.816,4.57","-25.878,46.816,4.57","-25.878,46.816,6.57","-24.878,46.816,6.57","-24.878,46.816,4.57"
B128,"-21.733,37.136,4.57","-20.733,37.136,4.57","-20.733,37.136,6.57","-21.733,37.136,6.57","-21.733,37.136,4.57"
B129,"-4.362,42.371,0.0","-4.362,41.371,0.0","-4.362,41.371,2.0","-4.362,42.371,2.0","-4.362,42.371,0.0"
B130,"-4.362,45.281,0.0","-4.362,44.281,0.0","-4.362,44.281,2.0","-4.362,45.281,2.0","-4.362,45.281,0.0"
B131,"-2.978,47.091,0.0","-2.978,48.091,0.0","-2.978,48.091,2.0","-2.978,47.091,2.0","-2.978,47.091,0.0"
B132,"-26.728,49.922,0.0","-27.728,49.922,0.0","-27.728,49.922,2.0","-26.728,49.922,2.0","-26.728,49.922,0.0"
B133,"-43.368,34.842,0.0","-44.368,34.842,0.0","-44.368,34.842,2.0","-43.368,34.842,2.0","-43.368,34.842,0.0"
B134,"-40.475,49.012,0.0","-40.475,48.012,0.0","-40.475,48.012,2.0","-40.475,49.012,2.0","-40.475,49.012,0.0"
B135,"-38.658,15.927,0.0","-38.658,14.927,0.0","-38.658,14.927,2.0","-38.658,15.927,2.0","-38.658,15.927,0.0"
B136,"-40.373,16.752,0.0","-39.373,16.752,0.0","-39.373,16.752,2.0","-40.373,16.752,2.0","-40.373,16.752,0.0"
B137,"-7.112,18.835,0.0","-7.112,19.835,0.0","-7.112,19.835,2.0","-7.112,18.835,2.0","-7.112,18.835,0.0"
B138,"-17.768,11.618,0.0","-17.768,12.618,0.0","-17.768,12.618,2.0","-17.768,11.618,2.0","-17.768,11.618,0.0"
B139,"-4.208,42.852,4.57","-4.208,43.852,4.57","-4.208,43.852,6.57","-4.208,42.852,6.57","-4.208,42.852,4.57"
B140,"-2.189,42.732,4.57","-3.189,42.732,4.57","-3.189,42.732,6.57","-2.189,42.732,6.57","-2.189,42.732,4.57"
B141,"-25.932,44.982,4.57","-24.932,44.982,4.57","-24.932,44.982,6.57","-25.932,44.982,6.57","-25.932,44.982,4.57"
B142,"-39.269,46.816,4.57","-40.269,46.816,4.57","-40.269,46.816,6.57","-39.269,46.816,6.57","-39.269,46.816,4.57"
B143,"-33.382,20.232,4.57","-33.382,19.232,4.57","-33.382,19.232,6.57","-33.382,20.232,6.57","-33.382,20.232,4.57"
