,,,start,end
1,,,"-33.382,19.732,4.57","-34.779,19.536333,4.57"
1,,,"-36.123,18.286,4.57","-34.779,19.536333,4.57"
1,,,"-43.668,17.952,4.57","-45.318857,19.262286,4.57"
1,,,"-37.663,13.642,4.57","-35.6455,10.99725,4.57"
1,,,"-32.027,13.642,4.57","-32.831286,11.553,4.57"
1,,,"-5.262,16.603,4.57","-6.551714,16.628857,4.57"
1,,,"-41.978,7.117,0","-40.424333,6.484333,0"
1,,,"-34.778,44.982,4.57","-34.705667,43.663,4.57"
1,,,"-30.982,38.888,0","-32.440333,36.314333,0"
1,,,"-32.098,46.816,4.57","-33.237667,49.024333,4.57"
1,,,"-40.475,53.781,0","-41.079571,54.928857,0"
1,,,"-14.679,42.218,0","-13.586857,41.400571,0"
1,,,"-5.361,15.902,0","-6.293667,16.9,0"
1,,,"-21.213,38.576,4.57","-21.979,40.054,4.57"
1,,,"-2.402,13.366,4.57","-1.049714,13.585,4.57"
1,,,"-38.658,26.525,0","-39.869,27.261,0"
1,,,"-39.873,24.996,0","-39.869,27.261,0"
1,,,"-48.767,45.381,0","-50.870333,45.851,0"
1,,,"-49.012,53.202,0","-50.758667,55.175,0"
1,,,"-38.658,53.448,0","-38.44,53.448,0"
1,,,"-22.229,12.042,0","-21.536667,13.681333,0"
1,,,"-19.892,17.831,0","-21.001,18.093667,0"
1,,,"-25.838,16.017,0","-23.844667,16.737333,0"
1,,,"-31.532,15.008,0","-33.5,14.0176,0"
1,,,"-32.112,12.042,0","-33.5,14.0176,0"
1,,,"-46.153,12.042,0","-45.358,16.014,0"
1,,,"-43.951,0.524,0","-46.045333,0.878,0"
1,,,"-22.413,2.842,0","-21.036333,0.932667,0"
1,,,"-7.518,20.471,0","-6.121333,20.7,0"
1,,,"-9.432,12.718,0","-9.4916,11.548,0"
1,,,"-17.768,19.302,0","-16.188,20.2535,0"
1,,,"-17.768,15.111,0","-16.391333,16.5845,0"
1,,,"-10.442,44.363,4.57","-11.026714,44.360714,4.57"
1,,,"-35.508,46.816,4.57","-35.9655,48.3685,4.57"
1,,,"-42.469,18.286,4.57","-41.336,19.536333,4.57"
1,,,"-42.509,11.156,4.57","-42.06225,10.35125,4.57"
1,,,"-29.497,13.642,4.57","-30.445667,12.294,4.57"
1,,,"-28.298,13.642,4.57","-27.187333,11.238333,4.57"
1,,,"-9.808,22.912,4.57","-10.254667,20.061,4.57"
1,,,"-17.768,19.342,4.57","-16.280857,20.562,4.57"
1,,,"-2.957,12.718,4.57","-1.366857,12.06,4.57"
1,,,"-36.985,-0.247,0","-35.172,-4.533833,0"
1,,,"-9.709,14.586,4.57","-9.056,16.7196,4.57"
1,,,"-29.783,38.888,0","-28.5,36.8616,0"
1,,,"-29.768,40.722,0","-30.817667,43.407667,0"
1,,,"-36.102,22.668,0","-37.3884,21.0496,0"
1,,,"-29.762,22.668,0","-30.92,20.2404,0"
1,,,"-27.811,24.502,0","-28.5,26.5284,0"
1,,,"-38.079,12.042,0","-37.9312,13.1716,0"
1,,,"-41.092,13.998,0","-41.566,12.8396,0"
1,,,"-5.262,20.696,4.57","-5.9388,21.479,4.57"
1,,,"-2.978,44.631,0","-1.6732,45.236,0"
1,,,"-10.732,48.216,0","-12.3592,48.5726,0"
1,,,"-31.043,54.349,0","-30.2352,55.1638,0"
1,,,"-40.475,40.275,0","-41.608667,40.38,0"
1,,,"-43.848,28.548,0","-45.465667,27.246333,0"
1,,,"-44.613,53.202,0","-43.69,55.034,0"
1,,,"-23.612,2.842,0","-24.88,1.0672,0"
1,,,"-22.448,9.588,0","-23.365,8.1295,0"
1,,,"-23.663,5.972,0","-23.365,8.1295,0"
1,,,"-8.137,12.718,0","-8.0516,11.053,0"
1,,,"-9.352,25.398,0","-10.8016,24.5436,0"
1,,,"-10.852,12.718,0","-11.06,11.046,0"
1,,,"-10.943,40.697,4.57","-8.4076,40.5824,4.57"
1,,,"-2.349,46.326,4.57","-2.4264,47.862,4.57"
1,,,"-42.939,38.456,4.57","-41.738,40.356,4.57"
1,,,"-33.382,40.477,4.57","-36.8764,40.22,4.57"
1,,,"-37.782,18.286,4.57","-39.120333,19.536333,4.57"
1,,,"-7.271,24.746,4.57","-8.399667,27.067667,4.57"
1,,,"-12.233,14.586,4.57","-11.6236,16.7196,4.57"
1,,,"-8.978,12.718,4.57","-10.3104,11.046,4.57"
1,,,"-3.428,15.546,4.57","-1.7532,16.1426,4.57"
1,,,"-3.428,18.485,4.57","-1.3134,19.502,4.57"
1,,,"-17.768,10.862,4.57","-15.1056,11.714,4.57"
1,,,"-23.468,12.042,0","-24.343,13.67,0"
1,,,"-28.688,46.816,4.57","-29.773,48.576,4.57"
1,,,"-36.112,38.308,0","-37.268,37.86,0"
1,,,"-7.518,22.127,0","-6.267,22.465,0"
1,,,"-35.392,12.042,0","-35.7205,13.435,0"
1,,,"-40.492,23.101,0","-41.87,23.437,0"
1,,,"-8.609,22.912,4.57","-8.177,21.514,4.57"
1,,,"-10.732,46.231,0","-11.245,46.4045,0"
1,,,"-31.587,48.088,0","-31.637,46.507,0"
