TRANSITION,weight,Unnamed: 1,Unnamed: 2,start,end
T155,1,SD30,N27,"-2.978,47.591,0","-3.646385,43.071308,0"
T156,1,SD31,N27,"-2.978,44.631,0","-3.646385,43.071308,0"
T157,1,SD32,N27,"-4.362,44.781,0","-3.646385,43.071308,0"
T158,1,SD33,N27,"-4.362,41.871,0","-3.646385,43.071308,0"
T159,1,SD236,N27,"-3.538,49.976,0","-3.646385,43.071308,0"
T160,1,SD5,N28,"-33.488,30.159,4.57","-32.497727,25.710364,4.57"
T161,1,SD143,N28,"-32.763,34.796,4.57","-32.497727,25.710364,4.57"
T162,1,SD145,N28,"-32.763,18.286,4.57","-32.497727,25.710364,4.57"
T163,1,SD146,N28,"-33.382,19.732,4.57","-32.497727,25.710364,4.57"
T164,1,SD24,N29,"-21.118,48.707,0","-19.432133,47.098467,0"
T165,1,SD25,N29,"-18.058,48.685,0","-19.432133,47.098467,0"
T166,1,SD26,N29,"-18.058,45.722,0","-19.432133,47.098467,0"
T167,1,SD36,N29,"-18.058,43.432,0","-19.432133,47.098467,0"
T168,1,SD37,N29,"-19.293,42.218,0","-19.432133,47.098467,0"
T169,1,SD235,N29,"-18.688,49.976,0","-19.432133,47.098467,0"
T170,1,SD63,N30,"-40.492,21.902,0","-45.633222,20.826556,0"
T171,1,SD62,N31,"-40.492,23.101,0","-39.475875,22.02,0"
T172,1,SD63,N31,"-40.492,21.902,0","-39.475875,22.02,0"
T173,1,SD106,N31,"-40.492,17.822,0","-39.475875,22.02,0"
T174,1,SD111,N31,"-39.873,16.752,0","-39.475875,22.02,0"
T175,1,SD198,N31,"-39.873,24.996,0","-39.475875,22.02,0"
T176,1,SD123,N32,"-25.432,44.982,4.57","-23.700182,45.648909,4.57"
T177,1,SD125,N32,"-27.122,46.197,4.57","-23.700182,45.648909,4.57"
T178,1,SD126,N32,"-23.372,44.982,4.57","-23.700182,45.648909,4.57"
T179,1,SD127,N32,"-20.848,44.982,4.57","-23.700182,45.648909,4.57"
T180,1,SD218,N32,"-25.378,46.816,4.57","-23.700182,45.648909,4.57"
T181,1,SD121,N33,"-43.538,45.816,4.57","-45.267125,44.341,4.57"
T182,1,SD214,N33,"-45.012,46.816,4.57","-45.267125,44.341,4.57"
